OBS,AUOPARTSNSA,AUTOMOTIVEPRODNSA,CHEMICALPRODNSA,CLOTHINGNSA,CONSUMERGOODSNSA,DURCONSGOODSNSA,ENGERYPRODNSA,FINALPRODUCTSNSA,FOODSTOBACCONSA,FUELSNSA,OTHDURGOODSNSA,PAPERPRODNSA,PRODUCTSNSA,TOTALNSA
1954:3,19.06766637,24.68833288,11.35399977,62.76399994,29.85466639,22.78433355,24.78866641,27.61733373,39.47533417,46.27166621,21.86866697,34.33666738,27.92233276,27.97900009
1954:4,19.4823335,27.35433261,12.44633325,65.07633209,30.67400042,25.81033389,26.25066694,28.17800013,36.80333328,48.84166718,25.02300008,34.83700053,28.7373333,29.46800041
1955:1,19.84266663,37.41400019,12.57299964,71.95566813,32.16033236,28.96366692,28.37433306,29.21699969,35.26700083,49.99733353,25.38033295,34.48166656,29.59399986,30.90066719
1955:2,21.73100026,38.0049998,12.66300011,69.30533346,32.54000092,29.30700048,26.21999995,29.8326664,38.10600026,47.55666606,25.64233335,34.96600087,30.69866689,32.19300016
1955:3,22.86566671,33.40766652,12.9339997,68.45966721,33.1616656,28.08633359,27.23566628,30.00999959,41.27866618,50.01899974,25.73766645,35.9343338,30.83700053,32.02433332
1955:4,23.24799983,36.34766642,14.35233307,71.30733236,34.28433355,30.93466632,28.86666679,31.28133329,39.37533315,52.26733398,28.57099978,36.88599904,31.98399925,33.695666
1956:1,22.29833285,33.30700048,14.13533338,77.0593338,34.17833328,29.67566744,31.45166651,31.5,37.77166748,53.38099925,28.035333,36.30500031,32.0253334,33.56933339
1956:2,22.58233325,29.93433317,14.73199972,70.96866862,33.61700058,28.13733419,29.49766668,31.48633385,39.82600021,51.36833318,27.22566668,36.64400101,32.3156662,33.63933309
1956:3,23.18266614,25.04833349,15.38199997,70.4896698,34.43599955,26.56066704,30.18966675,31.7740008,43.9673322,54.4083341,26.97566668,37.54766719,32.46766726,32.69833247
1956:4,22.78966649,31.14466604,15.7973334,69.67200216,34.75466665,29.44666735,30.68200048,32.66266759,41.14499919,54.85833359,28.5946668,39.24199931,33.18599955,34.58033244
1957:1,24.00100009,34.94999949,16.2493337,76.01600138,35.07300059,29.6503334,33.26766713,33.27766673,38.53999964,54.77233378,27.3446668,39.27433268,33.46233241,34.70699946
